35;Was ist ein Seewolf?;Fisch;Nagetier;Krebs;1;3;5
36;Was braucht eine Pflanze zum Wachsen?;Wasser;Licht;Phosphor;7;2;5
37;Wie lautet die lateinische Bezeichnung für Spinnentiere?;Arachnida;;;1;1;5
38;Wieviel Zähne umfasst das menschliche Gebiss?;32;;;1;1;5
39;Welches Organ ist das Größte des Menschen?;Haut;Darm;;3;1;5
40;Was versteht man unter Mitose?;Zellteilung;;;1;1;5
41;Berechnen Sie: (2*5*4+2-10*0+24/(3+5)%10;5;;;1;1;2
42;Peter wurde 2007 geboren, Max 2002 - wie hoch ist der Altersunterschied in Jahren ganz gewiss?;Weniger als 5 Jahre;mindestens 5 Jahre;nicht weniger als 4 Jahre;4;3;2
43;Wie lautet die Summe der Zahlen 1 bis 100? ;5050;;;1;1;2
44;Wie lautet die kleinste Primzahl?;1;2;3;2;3;2
45;Nennen Sie ein Verfahren zur Lösung von linearen Gleichungssystemen neben dem Gaußverfahren.;Einsetzungsverfahren;Gleichsetzungsverfahren;Additionsverfahren;7;1;2
46;Ein Hersteller gibt an, man solle sein Fruchtsaftkonzentrat im Verhältnis 1:7 mit Wasser mischen. Wie viel Liter Saft erhält man aus einer 0,6-Liter-Flasche Konzentrat?;4.8;;;1;2;2
47;Lösen Sie die Gleichung: 8 = 8x-(5-2+3*5-2)*3;7;;;1;2;2
48;Nennen Sie alle Lösungen der biquadratischen Gleichung 0 = x^2 + 8x + 12.;6;-3;2;5;3;2
49;In welchem bekannten Londoner Stadtteil befindet sich der Nullmeridian?;Sidcap;Mayfair;Greenwich;4;3;1
50;Welcher Ozean wird im Zusammenhang von Vulkanen als Feuerring bezeichnet?;Pazifik;;;1;2;1
51;In welchem Meer liegt die Insel Teneriffa?;Atlantik;;;1;2;1
52;Welches ist das einzige Land, an das das afrikanische Land Lesotho angrenzt?;Südafrika;;;1;1;1
53;Wie heißt die Hauptstadt von Weißrussland?;Minsk;;;1;1;1
54;Wie heißt eine Halbinsel im Westen Kanadas, dessen Name auch eine Hunderasse ist?;Collie;Labrador;Bobtail;2;3;1
55;Wie heißt der Kanal, der das Rote Meer mit dem Mittelmeer verbindet? ;Suezkanal;Sueskanal;;3;1;1
